Country,continent,Iso code,Admin-1 unit,rural_pfpr_2024,urban_pfpr_2024,weighted_prev,pv_present,population_rural,population_urban,population_total
Kenya,Africa,KEN,Elgeyo_Marakwet,0.040428564,0,0.040428564,yes,487614,0,487614
Kenya,Africa,KEN,Trans_Nzoia,0.041685266,0.035753269,0.040446542,yes,977070,257884,1234954
Kenya,Africa,KEN,Bungoma,0.073504708,0.069041403,0.072852115,yes,1774429,303875,2078304
Kenya,Africa,KEN,Garissa,0.030102935,0.018730293,0.025391733,yes,936037,661998,1598035
Kenya,Africa,KEN,Uasin_Gishu,0.034258233,0.029682447,0.032850092,yes,967013,429875,1396888
Kenya,Africa,KEN,Laikipia,0.033094212,0,0.030489192,yes,504525,43107,547632
Kenya,Africa,KEN,Busia,0.139678573,0.19986254,0.147946348,yes,847121,134906,982027
Kenya,Africa,KEN,Meru,0.041639636,0.04492218,0.042545833,yes,1252191,477511,1729702
Kenya,Africa,KEN,Kakamega,0.074649075,0.073383827,0.074256358,yes,1325613,596644,1922257
Kenya,Africa,KEN,Nandi,0.044544769,0.049421021,0.044720482,yes,1042360,38965,1081325
Kenya,Africa,KEN,Siaya,0.112400185,0.112501001,0.112405263,yes,983998,52190,1036188
Kenya,Africa,KEN,Nakuru,0.030993598,0.023590463,0.028461907,yes,1568310,815051,2383361
Kenya,Africa,KEN,Vihiga,0.05583268,0.080325834,0.078669509,yes,53036,731242,784278
Kenya,Africa,KEN,Nyandarua,0.026073997,0,0.024498763,yes,696206,44765,740971
Kenya,Africa,KEN,Kericho,0.056018505,0.056942892,0.056135046,yes,990713,142921,1133634
Kenya,Africa,KEN,Tharaka_Nithi,0.0328981,0.037242337,0.033461787,yes,334919,49937,384856
Kenya,Africa,KEN,Kisumu,0.074412258,0.065612354,0.071547247,yes,863908,417043,1280951
Kenya,Africa,KEN,Nyeri,0.037660321,0.034703396,0.037219517,yes,681560,119404,800964
Kenya,Africa,KEN,Tana_River,0.03944914,0,0.03944914,yes,385995,0,385995
Kenya,Africa,KEN,Kitui,0.031972834,0.032015878,0.031975024,yes,1196841,64157,1260998
Kenya,Africa,KEN,Kirinyaga,0.035419841,0.036907061,0.035712235,yes,515625,126182,641807
Kenya,Africa,KEN,Embu,0.033216995,0.030732308,0.033027406,yes,634807,52439,687246
Kenya,Africa,KEN,Homa_Bay,0.067830991,0.065164671,0.067693467,yes,1104993,60093,1165086
Kenya,Africa,KEN,Nyamira,0.056562726,0.058634389,0.057178406,yes,536676,226940,763616
Kenya,Africa,KEN,Bomet,0.038453485,0.028727479,0.038212979,yes,1025196,25994,1051190
Kenya,Africa,KEN,Narok,0.031683869,0,0.031683869,yes,1310907,0,1310907
Kenya,Africa,KEN,Kisii,0.04995788,0.052668562,0.051570822,yes,615268,904032,1519300
Kenya,Africa,KEN,Murang'a,0.037245388,0.034852706,0.037107342,yes,1036183,63443,1099626
Kenya,Africa,KEN,Migori,0.068375142,0.059425929,0.067197009,yes,958835,145364,1104199
Kenya,Africa,KEN,Kiambu,0.034867892,0.033132491,0.033814263,yes,845648,1306888,2152536
Kenya,Africa,KEN,Machakos,0.033585622,0.030471261,0.032963625,yes,1108651,276676,1385327
Kenya,Africa,KEN,Kajiado,0.028991919,0.029884751,0.029302683,yes,641045,342252,983297
Kenya,Africa,KEN,Nairobi,0.032137475,0.032695785,0.032682848,yes,117731,4962921,5080652
Kenya,Africa,KEN,Makueni,0.040468974,0,0.040468974,yes,1086687,0,1086687
Kenya,Africa,KEN,Lamu,0.049794092,0.032038141,0.046535521,yes,114802,25804,140606
Kenya,Africa,KEN,Kilifi,0.082907202,0.073341167,0.080533026,yes,1172595,387097,1559692
Kenya,Africa,KEN,Taita_Taveta,0.049450002,0.047501802,0.049020611,yes,308434,87199,395633
Kenya,Africa,KEN,Kwale,0.046443393,0.045971275,0.046389173,yes,768073,99654,867727
Kenya,Africa,KEN,Mombasa,0.062388692,0.051465017,0.051771661,yes,38754,1341793,1380547
Liberia,Africa,LBR,Lofa,0.430134377,0.386245498,0.417189545,no,278555,116528,395083
Liberia,Africa,LBR,Gbapolu,0.461469431,0,0.461469431,no,123939,0,123939
Liberia,Africa,LBR,Nimba,0.527399608,0.460242226,0.505628712,no,454211,217875,672086
Liberia,Africa,LBR,Grand_Cape_Mount,0.390158014,0.363333231,0.387329211,no,170715,20125,190840
Liberia,Africa,LBR,Bong,0.446855781,0.374740823,0.434296341,no,355182,74903,430085
Liberia,Africa,LBR,Bomi,0.423034998,0.390488956,0.409193259,no,98015,72534,170549
Liberia,Africa,LBR,Montserrado,0.436025662,0.291657815,0.295236091,no,48481,1907516,1955997
