"","v024","v025","country","dataset"
"453","itasy","rural","MD","MDKR81FL"
"454","bongolava","urban","MD","MDKR81FL"
"455","bongolava","rural","MD","MDKR81FL"
"456","haute matsiatra","urban","MD","MDKR81FL"
"457","haute matsiatra","rural","MD","MDKR81FL"
"458","amoron i mania","urban","MD","MDKR81FL"
"459","amoron i mania","rural","MD","MDKR81FL"
"460","vatovavy fitovinany","urban","MD","MDKR81FL"
"461","vatovavy fitovinany","rural","MD","MDKR81FL"
"462","ihorombe","urban","MD","MDKR81FL"
"463","ihorombe","rural","MD","MDKR81FL"
"464","atsimo atsinanana","urban","MD","MDKR81FL"
"465","atsimo atsinanana","rural","MD","MDKR81FL"
"466","atsinanana","urban","MD","MDKR81FL"
"467","atsinanana","rural","MD","MDKR81FL"
"468","analanjirofo","urban","MD","MDKR81FL"
"469","analanjirofo","rural","MD","MDKR81FL"
"470","alaotra mangoro","urban","MD","MDKR81FL"
"471","alaotra mangoro","rural","MD","MDKR81FL"
"472","boeny","urban","MD","MDKR81FL"
"473","boeny","rural","MD","MDKR81FL"
"474","sofia","rural","MD","MDKR81FL"
"475","sofia","urban","MD","MDKR81FL"
"476","betsiboka","urban","MD","MDKR81FL"
"477","betsiboka","rural","MD","MDKR81FL"
"478","melaky","urban","MD","MDKR81FL"
"479","melaky","rural","MD","MDKR81FL"
"480","atsimo andrefana","urban","MD","MDKR81FL"
"481","atsimo andrefana","rural","MD","MDKR81FL"
"482","androy","urban","MD","MDKR81FL"
"483","androy","rural","MD","MDKR81FL"
"484","anosy","urban","MD","MDKR81FL"
"485","anosy","rural","MD","MDKR81FL"
"486","menabe","urban","MD","MDKR81FL"
"487","menabe","rural","MD","MDKR81FL"
"488","diana","urban","MD","MDKR81FL"
"489","diana","rural","MD","MDKR81FL"
"490","sava","urban","MD","MDKR81FL"
"491","sava","rural","MD","MDKR81FL"
"492","kayes","rural","ML","MLKR7AFL"
"493","kayes","urban","ML","MLKR7AFL"
"494","koulikoro","rural","ML","MLKR7AFL"
"495","koulikoro","urban","ML","MLKR7AFL"
"496","sikasso","rural","ML","MLKR7AFL"
"497","sikasso","urban","ML","MLKR7AFL"
"498","segou","rural","ML","MLKR7AFL"
"499","segou","urban","ML","MLKR7AFL"
"500","mopti","rural","ML","MLKR7AFL"
"501","mopti","urban","ML","MLKR7AFL"
"502","toumbouctou","rural","ML","MLKR7AFL"
"503","toumbouctou","urban","ML","MLKR7AFL"
"504","gao","rural","ML","MLKR7AFL"
"505","gao","urban","ML","MLKR7AFL"
"506","kidal","urban","ML","MLKR7AFL"
"507","bamako","urban","ML","MLKR7AFL"
"508","hodh echargui","urban","MR","MRKR71FL"
"509","hodh echargui","rural","MR","MRKR71FL"
"510","hodh gharbi","urban","MR","MRKR71FL"
"511","hodh gharbi","rural","MR","MRKR71FL"
"512","assaba","urban","MR","MRKR71FL"
"513","assaba","rural","MR","MRKR71FL"
"514","gorgol","urban","MR","MRKR71FL"
"515","gorgol","rural","MR","MRKR71FL"
"516","brakna","urban","MR","MRKR71FL"
"517","brakna","rural","MR","MRKR71FL"
"518","trarza","urban","MR","MRKR71FL"
"519","trarza","rural","MR","MRKR71FL"
"520","adrar","urban","MR","MRKR71FL"
"521","adrar","rural","MR","MRKR71FL"
"522","dakhlet nouadhibou","rural","MR","MRKR71FL"
"523","dakhlet nouadhibou","urban","MR","MRKR71FL"
"524","tiris zemour et inchiri","rural","MR","MRKR71FL"
"525","tagant","urban","MR","MRKR71FL"
"526","tagant","rural","MR","MRKR71FL"
"527","guidimagha","urban","MR","MRKR71FL"
"528","guidimagha","rural","MR","MRKR71FL"
"529","tiris zemour et inchiri","urban","MR","MRKR71FL"
"530","nouakchott nord","urban","MR","MRKR71FL"
"531","nouakchott ouest","urban","MR","MRKR71FL"
"532","nouakchott sud","urban","MR","MRKR71FL"
"533","central region","urban","MW","MWKR7AFL"
