"","Country","Region (admin-1)","PMC delivery strategy (vs. comparator)","Cost-effectiveness threshold (lower)","Cost-effectiveness threshold (upper)","Additional clinical malaria cases averted","Additional hospitalisations averted","Additional deaths averted","Additional DALYs averted","Difference in treatment costs","Difference in implementation costs","Difference in implementation costs (incl. national costs)","Difference in total costs","Difference in total costs (incl. national costs)","ICER based on regional costs only (no national costs)","Cost-effective? (lower country-specific threshold)","Cost-effective? (higher country-specific threshold)","Cost-effective? ($250 / DALY averted threshold)","ICER including national costs for every individual region (i.e. double-counting, just done for calculation purposes)","ICER (incl. national costs) below CET lower bound (Y/N)","ICER (incl. national costs) below CET upper bound (Y/N)","ICER (incl. national costs) below $250 / DALY averted threshold (Y/N)","Current scenario chosen"
"251","COD","Tshopo","PMC co-delivery with EPI only vs No PMC",32,149,13694.644503989,624.15054669876,134.192367540233,915.6312599546,-74616.967738661,552666.964796569,720284.964796569,478049.997057908,645667.997057908,522.09881637463,"no","no","no",705.16159211288,"no","no","no",NA
"252","COD","Tshopo","No PMC vs PMC co-delivery with EPI only",32,149,-13694.644503989,-624.15054669876,-134.192367540233,-915.6312599546,74616.967738661,-552666.964796569,-720284.964796569,-478049.997057908,-645667.997057908,522.09881637463,"no","no","no",705.16159211288,"no","no","no",NA
"253","COD","Tshuapa","PMC co-delivery with EPI only vs No PMC",32,149,3080.9969158406,207.42036096451,44.5953776073698,229.31312832352,-20416.2324347394,288681.018143233,456299.018143233,268264.785708494,435882.785708494,1169.86230866826,"no","no","no",1900.8191501951,"no","no","no",NA
"254","COD","Tshuapa","No PMC vs PMC co-delivery with EPI only",32,149,-3080.9969158406,-207.42036096451,-44.5953776073698,-229.31312832352,20416.2324347394,-288681.018143233,-456299.018143233,-268264.785708494,-435882.785708494,1169.86230866826,"no","no","no",1900.8191501951,"no","no","no",NA
"255","COG","Bouenza","PMC co-delivery with EPI only vs No PMC",174,2160,120.33629999516,9.54522200465098,2.05222273099996,9.45888855737169,-2192.62040346105,253345.986255042,437068.986255042,251153.365851581,434876.365851581,26552.1011615945,"no","no","no",45975.4191218021,"no","no","no",NA
"256","COG","Bouenza","No PMC vs PMC co-delivery with EPI only",174,2160,-120.33629999516,-9.54522200465098,-2.05222273099996,-9.45888855737169,2192.62040346105,-253345.986255042,-437068.986255042,-251153.365851581,-434876.365851581,26552.1011615945,"no","no","no",45975.4191218021,"no","no","no",NA
"257","COG","Brazzaville","PMC co-delivery with EPI only vs No PMC",174,2160,142.34706920937,9.06536051684202,1.94905251112102,10.4144459895388,-2384.60220657672,90667.4975950528,274390.497595053,88282.895388476,272005.895388476,8476.96511913885,"no","no","no",26118.1339517918,"no","no","no",NA
"258","COG","Brazzaville","No PMC vs PMC co-delivery with EPI only",174,2160,-142.34706920937,-9.06536051684202,-1.94905251112102,-10.4144459895388,2384.60220657672,-90667.4975950528,-274390.497595053,-88282.895388476,-272005.895388476,8476.96511913885,"no","no","no",26118.1339517918,"no","no","no",NA
"259","COG","Cuvette","PMC co-delivery with EPI only vs No PMC",174,2160,120.89073718574,7.32683968768899,1.57527053285312,8.71516780778848,-1990.21538064054,239837.819811179,423560.819811179,237847.604430538,421570.604430538,27291.2248709636,"no","no","no",48372.0582010817,"no","no","no",NA
"260","COG","Cuvette","No PMC vs PMC co-delivery with EPI only",174,2160,-120.89073718574,-7.32683968768899,-1.57527053285312,-8.71516780778848,1990.21538064054,-239837.819811179,-423560.819811179,-237847.604430538,-421570.604430538,27291.2248709636,"no","no","no",48372.0582010817,"no","no","no",NA
"261","COG","Cuvette_Ouest","PMC co-delivery with EPI only vs No PMC",174,2160,139.25648551526,10.176765012257,2.18800447763525,10.6435949855437,-2455.71267826292,129801.489985838,313524.489985838,127345.777307575,311068.777307575,11964.5455769914,"no","no","no",29225.9126479421,"no","no","no",NA
"262","COG","Cuvette_Ouest","No PMC vs PMC co-delivery with EPI only",174,2160,-139.25648551526,-10.176765012257,-2.18800447763525,-10.6435949855437,2455.71267826292,-129801.489985838,-313524.489985838,-127345.777307575,-311068.777307575,11964.5455769914,"no","no","no",29225.9126479421,"no","no","no",NA
"263","COG","Kouilou","PMC co-delivery with EPI only vs No PMC",174,2160,189.47524417458,15.028598912941,3.23114876628231,14.893189874607,-3452.30947284098,186213.969989411,369936.969989411,182761.66051657,366484.66051657,12271.4920077787,"no","no","no",24607.5329464126,"no","no","no",NA
"264","COG","Kouilou","No PMC vs PMC co-delivery with EPI only",174,2160,-189.47524417458,-15.028598912941,-3.23114876628231,-14.893189874607,3452.30947284098,-186213.969989411,-369936.969989411,-182761.66051657,-366484.66051657,12271.4920077787,"no","no","no",24607.5329464126,"no","no","no",NA
"265","COG","Lekoumou","PMC co-delivery with EPI only vs No PMC",174,2160,122.27139049103,9.58736643125101,2.06128378271897,9.57224443311779,-2217.42002363042,178223.170475547,361946.170475547,176005.750451917,359728.750451917,18387.0931923737,"no","no","no",37580.3974674254,"no","no","no",NA
"266","COG","Lekoumou","No PMC vs PMC co-delivery with EPI only",174,2160,-122.27139049103,-9.58736643125101,-2.06128378271897,-9.57224443311779,2217.42002363042,-178223.170475547,-361946.170475547,-176005.750451917,-359728.750451917,18387.0931923737,"no","no","no",37580.3974674254,"no","no","no",NA
"267","COG","Likouala","PMC co-delivery with EPI only vs No PMC",174,2160,789.420351017299,56.69593906918,12.1896268998737,59.9906246979569,-13827.6002855237,153191.274937827,336914.274937827,139363.674652303,323086.674652303,2323.09090552026,"no","no","no",5385.61944102086,"no","no","no",NA
"268","COG","Likouala","No PMC vs PMC co-delivery with EPI only",174,2160,-789.420351017299,-56.69593906918,-12.1896268998737,-59.9906246979569,13827.6002855237,-153191.274937827,-336914.274937827,-139363.674652303,-323086.674652303,2323.09090552026,"no","no","no",5385.61944102086,"no","no","no",NA
"269","COG","Niari","PMC co-delivery with EPI only vs No PMC",174,2160,65.2366084845598,5.22334050301089,1.12301820814735,5.14478952776035,-1193.23526533835,263276.881882783,446999.881882783,262083.646617445,445806.646617445,50941.568202798,"no","no","no",86652.0669527787,"no","no","no",NA
"270","COG","Niari","No PMC vs PMC co-delivery with EPI only",174,2160,-65.2366084845598,-5.22334050301089,-1.12301820814735,-5.14478952776035,1193.23526533835,-263276.881882783,-446999.881882783,-262083.646617445,-445806.646617445,50941.568202798,"no","no","no",86652.0669527787,"no","no","no",NA
"271","COG","Plateaux","PMC co-delivery with EPI only vs No PMC",174,2160,46.11337724544,3.59193319065149,0.77226563599006,3.60177498986417,-834.037284221042,189184.025519201,372907.0255192,188349.988234979,372072.988234979,52293.6576451942,"no","no","no",103302.674176493,"no","no","no",NA
"272","COG","Plateaux","No PMC vs PMC co-delivery with EPI only",174,2160,-46.11337724544,-3.59193319065149,-0.77226563599006,-3.60177498986417,834.037284221042,-189184.025519201,-372907.0255192,-188349.988234979,-372072.988234979,52293.6576451942,"no","no","no",103302.674176493,"no","no","no",NA
"273","COG","Pointe_Noire","PMC co-delivery with EPI only vs No PMC",174,2160,31.858436560765,2.8472390570521,0.612156397266203,2.61561945645315,-610.561224332789,73028.9841937561,256751.984193756,72418.4229694234,256141.422969423,27686.9109498155,"no","no","no",97927.6332944692,"no","no","no",NA
"274","COG","Pointe_Noire","No PMC vs PMC co-delivery with EPI only",174,2160,-31.858436560765,-2.8472390570521,-0.612156397266203,-2.61561945645315,610.561224332789,-73028.9841937561,-256751.984193756,-72418.4229694234,-256141.422969423,27686.9109498155,"no","no","no",97927.6332944692,"no","no","no",NA
"275","COG","Pool","PMC co-delivery with EPI only vs No PMC",174,2160,264.61812389082,13.278158162206,2.8548040048743,18.1163233588796,-4097.17649944112,348802.871102396,532525.871102395,344705.694602954,528428.694602954,19027.3538275082,"no","no","no",29168.6499592064,"no","no","no",NA
"276","COG","Pool","No PMC vs PMC co-delivery with EPI only",174,2160,-264.61812389082,-13.278158162206,-2.8548040048743,-18.1163233588796,4097.17649944112,-348802.871102396,-532525.871102395,-344705.694602954,-528428.694602954,19027.3538275082,"no","no","no",29168.6499592064,"no","no","no",NA
"277","COG","Sangha","PMC co-delivery with EPI only vs No PMC",174,2160,153.23202427911,10.03215712151,2.15691378112465,11.3060239165201,-2592.64597296869,128624.22359855,312347.22359855,126031.577625581,309754.577625581,11147.2944472925,"no","no","no",27397.3042966038,"no","no","no",NA
"278","COG","Sangha","No PMC vs PMC co-delivery with EPI only",174,2160,-153.23202427911,-10.03215712151,-2.15691378112465,-11.3060239165201,2592.64597296869,-128624.22359855,-312347.22359855,-126031.577625581,-309754.577625581,11147.2944472925,"no","no","no",27397.3042966038,"no","no","no",NA
"279","GAB","Estuaire","PMC co-delivery with EPI only vs No PMC",1397,3452,928.4724601583,68.4657588022101,14.7201381424751,71.1781795312431,-23714.7886843527,115400.378382298,249686.378382298,91685.5896979452,225971.589697945,1288.11372111169,"yes","yes","no",3174.73123344995,"no","yes","no",NA
"280","GAB","Estuaire","No PMC vs PMC co-delivery with EPI only",1397,3452,-928.4724601583,-68.4657588022101,-14.7201381424751,-71.1781795312431,23714.7886843527,-115400.378382298,-249686.378382298,-91685.5896979452,-225971.589697945,1288.11372111169,"yes","yes","no",3174.73123344995,"no","yes","no",NA
"281","GAB","Haut_Ogooue","PMC co-delivery with EPI only vs No PMC",1397,3452,620.465278573702,46.957340412356,10.0958281886566,47.9848836707587,-16026.9101356988,214481.72006196,348767.72006196,198454.809926261,332740.809926261,4135.77766048012,"no","no","no",6934.28397595613,"no","no","no",NA
"282","GAB","Haut_Ogooue","No PMC vs PMC co-delivery with EPI only",1397,3452,-620.465278573702,-46.957340412356,-10.0958281886566,-47.9848836707587,16026.9101356988,-214481.72006196,-348767.72006196,-198454.809926261,-332740.809926261,4135.77766048012,"no","no","no",6934.28397595613,"no","no","no",NA
"283","GAB","Moyen_Ogooue","PMC co-delivery with EPI only vs No PMC",1397,3452,110.85184910712,7.053424754942,1.51648632231253,8.10803611918288,-2664.58275201133,86350.8483876584,220636.848387658,83686.265635647,217972.265635647,10321.3977349771,"no","no","no",26883.4847836882,"no","no","no",NA
"284","GAB","Moyen_Ogooue","No PMC vs PMC co-delivery with EPI only",1397,3452,-110.85184910712,-7.053424754942,-1.51648632231253,-8.10803611918288,2664.58275201133,-86350.8483876584,-220636.848387658,-83686.265635647,-217972.265635647,10321.3977349771,"no","no","no",26883.4847836882,"no","no","no",NA
