"Iso code","Admin-1 unit","Rurality","Age group","age_in_days_midpoint","infection_class","units","value"
"SLE","Eastern","rural/urban merged","n_age_119_125",122,"severe","ppy",0.0529637005126268
"SLE","Eastern","rural/urban merged","n_age_126_132",129,"severe","ppy",0.0556761167142991
"SLE","Eastern","rural/urban merged","n_age_133_139",136,"severe","ppy",0.0401107246753462
"SLE","Eastern","rural/urban merged","n_age_140_146",143,"severe","ppy",0.0609525803408852
"SLE","Eastern","rural/urban merged","n_age_147_153",150,"severe","ppy",0.0664335875414253
"SLE","Eastern","rural/urban merged","n_age_154_160",157,"severe","ppy",0.0628219896405119
"SLE","Eastern","rural/urban merged","n_age_161_167",164,"severe","ppy",0.0765506998522872
"SLE","Eastern","rural/urban merged","n_age_168_174",171,"severe","ppy",0.0928256951853512
"SLE","Eastern","rural/urban merged","n_age_175_181",178,"severe","ppy",0.0814028543209277
"SLE","Eastern","rural/urban merged","n_age_182_188",185,"severe","ppy",0.0755561294959728
"SLE","Eastern","rural/urban merged","n_age_189_195",192,"severe","ppy",0.0757522650763856
"SLE","Eastern","rural/urban merged","n_age_196_202",199,"severe","ppy",0.093449611476645
"SLE","Eastern","rural/urban merged","n_age_203_209",206,"severe","ppy",0.0937224908047352
"SLE","Eastern","rural/urban merged","n_age_210_216",213,"severe","ppy",0.102829484589914
"SLE","Eastern","rural/urban merged","n_age_217_223",220,"severe","ppy",0.118671504057074
"SLE","Eastern","rural/urban merged","n_age_224_230",227,"severe","ppy",0.104538590326081
"SLE","Eastern","rural/urban merged","n_age_231_237",234,"severe","ppy",0.089152790689942
"SLE","Eastern","rural/urban merged","n_age_238_244",241,"severe","ppy",0.117501913943441
"SLE","Eastern","rural/urban merged","n_age_245_251",248,"severe","ppy",0.0815513742788826
"SLE","Eastern","rural/urban merged","n_age_252_258",255,"severe","ppy",0.0938934408460202
"SLE","Eastern","rural/urban merged","n_age_259_265",262,"severe","ppy",0.0958813267263377
