"Country","Rurality","Iso code","Admin-1 unit","Age group","age_in_days_midpoint","infection_class","units","value","Scenario","doses"
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_273_279",276,"clinical","ppy",0.360610375025421,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_280_286",283,"clinical","ppy",0.417182176888421,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_287_293",290,"clinical","ppy",0.55319363616808,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_294_300",297,"clinical","ppy",0.835836261968972,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_301_307",304,"clinical","ppy",1.18192864470719,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_308_314",311,"clinical","ppy",1.64480249356533,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_315_321",318,"clinical","ppy",2.16980034277667,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_322_328",325,"clinical","ppy",2.27915863509974,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_329_335",332,"clinical","ppy",2.46572047943586,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_336_342",339,"clinical","ppy",2.73365360284939,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_343_349",346,"clinical","ppy",2.72425881199378,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_350_356",353,"clinical","ppy",2.82615795549479,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_357_363",360,"clinical","ppy",2.70284416401552,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_364_370",367,"clinical","ppy",2.91427988962671,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_371_377",374,"clinical","ppy",2.79060663961503,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_378_384",381,"clinical","ppy",2.71157237760132,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_385_391",388,"clinical","ppy",2.73455231723378,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_392_398",395,"clinical","ppy",2.75396188671367,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_399_405",402,"clinical","ppy",2.8253068417223,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_406_412",409,"clinical","ppy",2.67503730481548,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_413_419",416,"clinical","ppy",2.93478702978834,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_420_426",423,"clinical","ppy",2.67431348829276,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_427_433",430,"clinical","ppy",2.86494086612409,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_434_440",437,"clinical","ppy",2.85976053786256,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_441_447",444,"clinical","ppy",2.6801549253911,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_448_454",451,"clinical","ppy",2.85800215620062,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_455_461",458,"clinical","ppy",1.42771656332342,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_462_468",465,"clinical","ppy",1.39954895452122,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_469_475",472,"clinical","ppy",1.51528293419518,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_476_482",479,"clinical","ppy",1.77798952323198,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_483_489",486,"clinical","ppy",2.07799820154594,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_490_496",493,"clinical","ppy",2.39770994119643,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_497_503",500,"clinical","ppy",2.42111871924528,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_504_510",507,"clinical","ppy",2.61179698224098,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_511_517",514,"clinical","ppy",2.62193991810316,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_518_524",521,"clinical","ppy",2.77413134378373,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_525_531",528,"clinical","ppy",2.81192925709406,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_532_538",535,"clinical","ppy",2.86304320679771,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_539_545",542,"clinical","ppy",2.73101668424719,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_546_552",549,"clinical","ppy",2.96122400879172,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_553_559",556,"clinical","ppy",2.8208909711441,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_560_566",563,"clinical","ppy",2.80454362582959,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_567_573",570,"clinical","ppy",2.91727842713867,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_574_580",577,"clinical","ppy",2.75207785307824,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_581_587",584,"clinical","ppy",2.85483001969708,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_588_594",591,"clinical","ppy",2.86258974217825,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_595_601",598,"clinical","ppy",2.80762517320589,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_602_608",605,"clinical","ppy",2.79875404525893,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_609_615",612,"clinical","ppy",2.84332795018746,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_616_622",619,"clinical","ppy",2.79553485366071,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_623_629",626,"clinical","ppy",2.9500102738276,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_630_636",633,"clinical","ppy",2.91194451638143,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_637_643",640,"clinical","ppy",2.63621470393441,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_644_650",647,"clinical","ppy",2.72737071779668,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_651_657",654,"clinical","ppy",2.90101606732422,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_658_664",661,"clinical","ppy",2.80118429403614,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_665_671",668,"clinical","ppy",2.70360127436182,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_672_678",675,"clinical","ppy",2.77706565996448,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_679_685",682,"clinical","ppy",2.66198248596584,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_686_692",689,"clinical","ppy",2.81382617222565,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_693_699",696,"clinical","ppy",2.81664824165426,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_700_706",703,"clinical","ppy",2.82928841974413,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_707_713",710,"clinical","ppy",2.68161368402526,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_714_720",717,"clinical","ppy",2.74305818906415,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_721_727",724,"clinical","ppy",2.59372806299847,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_728_734",731,"clinical","ppy",2.72379665065038,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_735_741",738,"clinical","ppy",2.59774158469578,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_742_748",745,"clinical","ppy",2.65766168275854,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_749_755",752,"clinical","ppy",2.59531775439651,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_756_762",759,"clinical","ppy",2.5656895567955,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_763_769",766,"clinical","ppy",2.47946429745783,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_770_776",773,"clinical","ppy",2.55965251667854,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_777_783",780,"clinical","ppy",2.51419101420149,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_784_790",787,"clinical","ppy",2.64621586112188,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_791_797",794,"clinical","ppy",2.49082274735778,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_798_804",801,"clinical","ppy",2.5812458921064,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_805_811",808,"clinical","ppy",2.64136515958046,"PMC co-delivery with EPI only",6
