Country,Iso code,v024,v025,dataset
NA,KE,nyeri,rural,KEKR8CFL
NA,KE,nyeri,urban,KEKR8CFL
NA,KE,kirinyaga,rural,KEKR8CFL
NA,KE,kirinyaga,urban,KEKR8CFL
NA,KE,murang'a,rural,KEKR8CFL
NA,KE,murang'a,urban,KEKR8CFL
NA,KE,kiambu,rural,KEKR8CFL
NA,KE,kiambu,urban,KEKR8CFL
NA,KE,turkana,rural,KEKR8CFL
NA,KE,turkana,urban,KEKR8CFL
NA,KE,west pokot,urban,KEKR8CFL
NA,KE,west pokot,rural,KEKR8CFL
NA,KE,samburu,rural,KEKR8CFL
NA,KE,samburu,urban,KEKR8CFL
NA,KE,trans nzoia,rural,KEKR8CFL
NA,KE,trans nzoia,urban,KEKR8CFL
NA,KE,uasin gishu,rural,KEKR8CFL
NA,KE,uasin gishu,urban,KEKR8CFL
NA,KE,elgeyo-marakwet,urban,KEKR8CFL
NA,KE,elgeyo-marakwet,rural,KEKR8CFL
NA,KE,nandi,rural,KEKR8CFL
NA,KE,nandi,urban,KEKR8CFL
NA,KE,baringo,rural,KEKR8CFL
NA,KE,baringo,urban,KEKR8CFL
NA,KE,laikipia,rural,KEKR8CFL
NA,KE,laikipia,urban,KEKR8CFL
NA,KE,nakuru,rural,KEKR8CFL
NA,KE,nakuru,urban,KEKR8CFL
NA,KE,narok,rural,KEKR8CFL
NA,KE,narok,urban,KEKR8CFL
NA,KE,kajiado,urban,KEKR8CFL
NA,KE,kajiado,rural,KEKR8CFL
NA,KE,kericho,rural,KEKR8CFL
NA,KE,kericho,urban,KEKR8CFL
NA,KE,bomet,rural,KEKR8CFL
NA,KE,bomet,urban,KEKR8CFL
NA,KE,kakamega,urban,KEKR8CFL
NA,KE,kakamega,rural,KEKR8CFL
NA,KE,vihiga,rural,KEKR8CFL
NA,KE,vihiga,urban,KEKR8CFL
NA,KE,bungoma,rural,KEKR8CFL
NA,KE,bungoma,urban,KEKR8CFL
NA,KE,busia,rural,KEKR8CFL
NA,KE,busia,urban,KEKR8CFL
NA,KE,siaya,rural,KEKR8CFL
NA,KE,siaya,urban,KEKR8CFL
NA,KE,kisumu,rural,KEKR8CFL
NA,KE,kisumu,urban,KEKR8CFL
NA,KE,homa bay,urban,KEKR8CFL
NA,KE,homa bay,rural,KEKR8CFL
NA,KE,migori,rural,KEKR8CFL
NA,KE,migori,urban,KEKR8CFL
NA,KE,kisii,rural,KEKR8CFL
NA,KE,kisii,urban,KEKR8CFL
NA,KE,nyamira,rural,KEKR8CFL
NA,KE,nyamira,urban,KEKR8CFL
NA,KE,nairobi,urban,KEKR8CFL
NA,KM,Mohéli,Rural,KMKR61FL
NA,KM,Mohéli,Urban,KMKR61FL
NA,KM,Ndzouani,Rural,KMKR61FL
NA,KM,Ndzouani,Urban,KMKR61FL
NA,KM,Ngazidja,Rural,KMKR61FL
NA,KM,Ngazidja,Urban,KMKR61FL
NA,LB,north western,rural,LBKR7AFL
NA,LB,south eastern a,rural,LBKR7AFL
NA,LB,south central,rural,LBKR7AFL
NA,LB,south central,urban,LBKR7AFL
NA,LB,south eastern b,rural,LBKR7AFL
NA,LB,north western,urban,LBKR7AFL
NA,LB,north central,rural,LBKR7AFL
NA,LB,north central,urban,LBKR7AFL
NA,LB,south eastern b,urban,LBKR7AFL
NA,LB,south eastern a,urban,LBKR7AFL
NA,LS,butha-buthe,rural,LSKR81FL
NA,LS,butha-buthe,urban,LSKR81FL
NA,LS,leribe,rural,LSKR81FL
NA,LS,leribe,urban,LSKR81FL
NA,LS,berea,rural,LSKR81FL
NA,LS,berea,urban,LSKR81FL
NA,LS,maseru,rural,LSKR81FL
NA,LS,maseru,urban,LSKR81FL
NA,LS,mafeteng,rural,LSKR81FL
NA,LS,mafeteng,urban,LSKR81FL
NA,LS,mohale's hoek,rural,LSKR81FL
NA,LS,mohale's hoek,urban,LSKR81FL
NA,LS,quthing,rural,LSKR81FL
NA,LS,quthing,urban,LSKR81FL
NA,LS,qacha's nek,rural,LSKR81FL
NA,LS,thaba-tseka,rural,LSKR81FL
NA,LS,qacha's nek,urban,LSKR81FL
NA,LS,mokhotlong,rural,LSKR81FL
NA,LS,mokhotlong,urban,LSKR81FL
NA,LS,thaba-tseka,urban,LSKR81FL
NA,MD,antananarivo,urban,MDKR81FL
NA,MD,analamanga,rural,MDKR81FL
NA,MD,analamanga,urban,MDKR81FL
NA,MD,vakinankaratra,urban,MDKR81FL
NA,MD,vakinankaratra,rural,MDKR81FL
NA,MD,itasy,urban,MDKR81FL
NA,MD,itasy,rural,MDKR81FL
NA,MD,bongolava,urban,MDKR81FL
NA,MD,bongolava,rural,MDKR81FL
