Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction
Central African Republic,CAF,24-30mo,821,Mbomou,raw cases,4,1290.545352,40.95473287,1136.178971,42.09534996,936.1015935,29.72328048,824.1765172,30.54470362,154.3663816,-1.140617091,111.9250763,-0.821423141,11.96132948,-2.785067832
Central African Republic,CAF,0-6mo,91,Nana_Grebizi,raw cases,4,231.3353077,17.94390518,147.7758521,12.18136061,209.5762786,16.28357038,134.0929578,11.07164516,83.55945562,5.762544575,75.48332081,5.211925226,36.12049386,32.11421659
Central African Republic,CAF,6-12mo,273.5,Nana_Grebizi,raw cases,4,497.9569416,33.70063029,375.2579491,26.44205341,462.7399641,31.30725481,348.5889179,24.55400072,122.6989925,7.258576886,114.1510462,6.753254088,24.64048238,21.53840098
Central African Republic,CAF,12-18mo,456,Nana_Grebizi,raw cases,4,578.4293808,34.53087471,496.1923635,30.988542,551.3809648,32.90954008,472.9934449,29.53784281,82.23701735,3.54233271,78.38751996,3.37169727,14.21729602,10.25845056
Central African Republic,CAF,18-24mo,638.5,Nana_Grebizi,raw cases,4,639.1649467,35.72877323,546.4697959,31.06072664,621.4511037,34.73822096,531.3310578,30.19905421,92.69515081,4.668046593,90.12004581,4.539166752,14.5025398,13.06523054
Central African Republic,CAF,24-30mo,821,Nana_Grebizi,raw cases,4,693.0951669,30.0481399,590.968699,27.37274035,661.3323485,28.66811833,563.8949582,26.11974177,102.1264679,2.675399551,97.43739024,2.548376561,14.73484058,8.903711044
Central African Republic,CAF,0-6mo,91,Ombella_M'Poko,raw cases,4,425.5057612,27.521533,312.1921002,20.13085329,186.4418291,12.05095342,136.9932285,8.844366941,113.313661,7.390679718,49.44860055,3.206586482,26.63034707,26.85417167
Central African Republic,CAF,6-12mo,273.5,Ombella_M'Poko,raw cases,4,1094.42256,69.31968279,972.1468095,62.18316467,492.0612098,31.14866181,436.7116194,27.92766664,122.27575,7.136518119,55.34959042,3.220995169,11.17262697,10.29508191
Central African Republic,CAF,12-18mo,456,Ombella_M'Poko,raw cases,4,1283.765168,84.93520278,1334.421977,79.04634512,591.864291,39.15474377,615.267586,36.44346528,-50.65680962,5.888857669,-23.40329503,2.711278488,-3.945956075,6.933353281
Central African Republic,CAF,18-24mo,638.5,Ombella_M'Poko,raw cases,4,1331.311294,71.26727338,1435.535827,75.79512872,625.9505177,33.49220846,674.9334723,35.63259815,-104.224533,-4.527855333,-48.98295467,-2.140389693,-7.828712444,-6.353344414
Central African Republic,CAF,24-30mo,821,Ombella_M'Poko,raw cases,4,1485.16815,61.81040638,1551.898949,63.25599807,685.1820499,28.50682252,715.9753196,29.17718728,-66.73079948,-1.445591694,-30.79326978,-0.670364766,-4.493147761,-2.338751318
Central African Republic,CAF,0-6mo,91,Ouaka,raw cases,4,483.4552373,29.87195301,317.7741441,20.47697049,178.9817578,11.04226169,117.818417,7.57797538,165.6810932,9.394982513,61.16334085,3.464286312,34.27020341,31.45084793
Central African Republic,CAF,6-12mo,273.5,Ouaka,raw cases,4,1273.937264,87.92060031,944.5840949,68.15040054,483.4825368,33.37849288,358.352521,25.86236849,329.3531692,19.77019977,125.1300159,7.516124398,25.85317021,22.48642491
Central African Republic,CAF,12-18mo,456,Ouaka,raw cases,4,1457.869333,81.71017571,1243.050988,73.10922841,567.5112796,31.80845069,483.8871642,28.45717861,214.8183455,8.600947304,83.62411539,3.351272081,14.73508912,10.52616425
Central African Republic,CAF,18-24mo,638.5,Ouaka,raw cases,4,1597.166585,87.7743762,1356.200317,76.59990924,633.9979042,34.82553292,538.3385598,30.39554859,240.9662686,11.17446697,95.65934436,4.429984338,15.08710931,12.73089875
Central African Republic,CAF,24-30mo,821,Ouaka,raw cases,4,1600.61946,65.48730631,1377.984758,58.44500433,623.3654886,25.48879359,536.684732,22.74754161,222.6347021,7.042301975,86.68075658,2.741251978,13.90928373,10.7536901
Central African Republic,CAF,0-6mo,91,Ouham,raw cases,4,379.0095255,28.44306413,239.775857,19.10394916,100.4972774,7.526593346,63.66192699,5.063941601,139.2336685,9.339114968,36.83535039,2.462651745,36.7361924,32.8344194
Central African Republic,CAF,6-12mo,273.5,Ouham,raw cases,4,709.6025587,53.8741981,541.0533938,40.807435,193.0757107,14.66501596,147.1580869,11.10250937,168.5491648,13.0667631,45.91762375,3.562506591,23.75261515,24.25421363
Central African Republic,CAF,12-18mo,456,Ouham,raw cases,4,816.9686014,61.28950179,703.3843802,52.39420929,228.0383564,17.1147675,196.3269418,14.6304776,113.5842212,8.895292502,31.71141458,2.484289901,13.90313178,14.51356634
Central African Republic,CAF,18-24mo,638.5,Ouham,raw cases,4,911.2971605,61.54533336,788.363648,54.77436543,259.4717063,17.50815496,224.4692952,15.58850423,122.9335124,6.770967926,35.00241112,1.919650729,13.48994793,11.00159436
Central African Republic,CAF,24-30mo,821,Ouham,raw cases,4,1055.599371,61.7513045,914.2455983,54.87686344,294.7786328,17.2389493,255.3131188,15.31883264,141.353773,6.874441063,39.46551401,1.920116661,13.39085422,11.1324629
Central African Republic,CAF,0-6mo,91,Ouham_Pende,raw cases,4,609.5775045,34.16141453,409.5420736,26.42843406,137.8630287,7.761614038,92.80659769,6.024170445,200.0354309,7.732980474,45.056431,1.737443593,32.81542206,22.6365933
Central African Republic,CAF,6-12mo,273.5,Ouham_Pende,raw cases,4,1153.186478,92.31718334,928.8029314,75.89827606,267.6887786,21.4253965,215.5079828,17.60624585,224.3835471,16.41890729,52.18079575,3.819150651,19.45769841,17.78532088
Central African Republic,CAF,12-18mo,456,Ouham_Pende,raw cases,4,1352.800289,95.49330626,1242.706897,89.56966833,322.0572627,22.71611992,295.8458642,21.31164552,110.0933914,5.923637932,26.21139848,1.404474407,8.138185088,6.203197024
Central African Republic,CAF,18-24mo,638.5,Ouham_Pende,raw cases,4,1512.497636,91.97199298,1388.703272,88.04939473,367.2453879,22.32858462,337.1935462,21.37375596,123.7943642,3.92259825,30.05184168,0.954828652,8.184764145,4.264992116
Central African Republic,CAF,24-30mo,821,Ouham_Pende,raw cases,4,1626.795224,92.79959771,1498.440759,88.67443926,387.6097945,22.10460137,357.0311471,21.12532711,128.3544653,4.12515845,30.57864746,0.979274255,7.8900198,4.445233117
Central African Republic,CAF,0-6mo,91,Vakaga,raw cases,4,22.22747946,1.351671263,15.97480034,1.072415764,29.37102508,1.792829808,21.14719627,1.425367548,6.252679121,0.279255499,8.223828804,0.36746226,28.13040108,20.66001597
Central African Republic,CAF,6-12mo,273.5,Vakaga,raw cases,4,43.12773891,4.835173993,38.27122472,4.235583823,58.49419269,6.561821538,51.88259712,5.745542813,4.856514186,0.59959017,6.611595575,0.816278726,11.26076699,12.40059139
Central African Republic,CAF,12-18mo,456,Vakaga,raw cases,4,47.5544456,2.930202654,47.5544456,2.930202654,66.16877369,4.076238654,66.16877369,4.076238654,0,0,0,0,0,0
Central African Republic,CAF,18-24mo,638.5,Vakaga,raw cases,4,57.13903367,4.631722158,57.13903367,4.631722158,81.07033981,6.559378308,81.07033981,6.559378308,0,0,0,0,0,0
Central African Republic,CAF,24-30mo,821,Vakaga,raw cases,4,57.42581324,5.961913214,57.42581324,5.961913214,79.92997504,8.297729259,79.92997504,8.297729259,0,0,0,0,0,0
