Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000
Central African Republic,CAF,n_age_742_748,745,Mambere_Kadei,raw cases,4,99.10538655,3.570009559,846.107557,30.478788,12.27672293,0.028644208,104.8119422,0.244548569,86.82866362,3.541365351,741.2956148,30.23423943
Central African Republic,CAF,n_age_749_755,752,Mambere_Kadei,raw cases,4,93.29962057,2.472667808,797.050505,21.123785,11.2238788,0.122758644,95.8846157,1.048716369,82.07574177,2.349909164,701.1658893,20.07506863
Central African Republic,CAF,n_age_756_762,759,Mambere_Kadei,raw cases,4,83.14489145,3.624509677,710.795303,30.985481,5.736141879,0.408640821,49.03756123,3.493419393,77.40874957,3.215868856,661.7577418,27.49206161
Central African Republic,CAF,n_age_763_769,766,Mambere_Kadei,raw cases,4,85.82725965,3.477941069,734.269756,29.754497,7.753872942,-0.127248516,66.3359685,-1.08863707,78.07338671,3.605189584,667.9337875,30.84313407
Central African Republic,CAF,n_age_770_776,773,Mambere_Kadei,raw cases,4,97.02885455,4.85977603,830.669842,41.604834,10.62090938,0.721501361,90.92624209,6.176816413,86.40794517,4.138274669,739.7435999,35.42801759
Central African Republic,CAF,n_age_777_783,780,Mambere_Kadei,raw cases,4,88.62238633,3.594189994,759.248531,30.792259,9.022444132,0.031891053,77.29737075,0.273218041,79.5999422,3.562298942,681.9511603,30.51904096
Central African Republic,CAF,n_age_784_790,787,Mambere_Kadei,raw cases,4,89.43212068,4.675196897,766.63789,40.077134,9.432397087,0.413951151,80.85722384,3.548508458,79.9997236,4.261245747,685.7806662,36.52862554
Central African Republic,CAF,n_age_791_797,794,Mambere_Kadei,raw cases,4,86.18712615,5.007953342,739.321192,42.95869,8.640266629,0.03353918,74.11701154,0.287702211,77.54685952,4.974414162,665.2041805,42.67098779
Central African Republic,CAF,n_age_798_804,801,Mambere_Kadei,raw cases,4,88.56268105,4.595020839,760.235625,39.444363,10.15096631,-0.532567259,87.13745032,-4.571638957,78.41171473,5.127588098,673.0981747,44.01600196
Central African Republic,CAF,n_age_805_811,808,Mambere_Kadei,raw cases,4,83.75229735,3.62368132,719.327915,31.122909,6.504679984,-0.452761918,55.86709904,-3.888660931,77.24761736,4.076443239,663.460816,35.01156993
Central African Republic,CAF,n_age_812_818,815,Mambere_Kadei,raw cases,4,94.61718486,3.245392459,813.081201,27.888883,10.49995958,0.40501517,90.2301179,3.480448305,84.11722528,2.840377289,722.8510831,24.4084347
Central African Republic,CAF,n_age_819_825,822,Mambere_Kadei,raw cases,4,97.06046317,3.465427904,834.661979,29.800609,12.6929648,0.112071186,109.1519119,0.963745222,84.36749837,3.353356718,725.5100671,28.83686378
Central African Republic,CAF,n_age_826_832,829,Mambere_Kadei,raw cases,4,89.38035544,2.861303766,769.12449,24.621728,11.53137486,0.254251393,99.22832331,2.187851819,77.84898058,2.607052373,669.8961667,22.43387618
Central African Republic,CAF,n_age_833_839,836,Mambere_Kadei,raw cases,4,95.55949062,1.472144844,822.815242,12.675907,12.22455274,-0.374168223,105.2595431,-3.221776452,83.33493788,1.846313067,717.5556989,15.89768345
