Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,scenario,Scenario
Angola,AGO,0-6mo,91,Cuando_Cubango,raw cases,5,1933.31378272071,112.07603360824,1750.33794804208,102.075643438722,475.828319630215,27.5654613972284,430.87012833219,25.108638467736,182.975834678631,10.0003901695183,44.9581912980249,2.45682292949247,9.46436301825427,8.92286231726805,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,6-12mo,273.5,Cuando_Cubango,raw cases,5,4447.67393303873,237.958181142851,4126.60504793852,221.619353075833,1119.48693067492,59.8733023059625,1038.74086408396,55.7651950763852,321.068885100211,16.3388280670178,80.7460665909612,4.10810722957726,7.21880447924046,6.86626027672032,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,12-18mo,456,Cuando_Cubango,raw cases,5,4877.96938994706,224.961171065004,4733.8766642788,219.031862345087,1257.61762217251,57.9736999895246,1220.38274282322,56.4414284491463,144.092725668258,5.92930871991641,37.2348793492947,1.53227154037831,2.95394895189824,2.63570317128332,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,18-24mo,638.5,Cuando_Cubango,raw cases,5,5097.40079729106,197.284718215355,5097.40079729106,197.284718215355,1342.57777971961,51.9204513685476,1342.57777971961,51.9204513685476,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,24-30mo,821,Cuando_Cubango,raw cases,5,5273.12299095078,160.479545967258,5273.12299095078,160.479545967258,1365.78511819261,41.5547436865645,1365.78511819261,41.5547436865645,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-6mo,91,Cuanza_Norte,raw cases,5,1515.89600155915,87.5871952625918,1176.5935820918,69.1816893048223,439.198049702321,25.362315213445,340.991146346964,20.0333048856077,339.302419467348,18.4055059577696,98.2069033553562,5.32901032783731,22.3829615698151,21.013923213991198,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,6-12mo,273.5,Cuanza_Norte,raw cases,5,3208.9935220894,177.426028706284,2799.17919697081,154.066278740094,951.371630843735,52.5600636859278,830.327806928083,45.6664502189557,409.814325118592,23.3597499661906,121.043823915652,6.89361346697208,12.7708056216878,13.1659092730193,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,12-18mo,456,Cuanza_Norte,raw cases,5,3606.01791731724,173.530761751299,3436.3453223069,165.772124495476,1095.45154270939,52.6845185022087,1043.80521877578,50.3228427238841,169.672595010344,7.75863725582261,51.6463239336019,2.36167577832465,4.70526211740441,4.47104431371203,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,18-24mo,638.5,Cuanza_Norte,raw cases,5,3827.69403056881,153.087873409108,3827.69403056881,153.087873409108,1188.35621709875,47.4906182451401,1188.35621709875,47.4906182451401,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,24-30mo,821,Cuanza_Norte,raw cases,5,4022.31050301165,123.052705106456,4022.31050301165,123.052705106456,1228.21382382758,37.5667736037114,1228.21382382758,37.5667736037114,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-6mo,91,Cuanza_Sul,raw cases,5,6659.74224671457,438.672581208163,5469.25393726766,363.269657703633,351.509684724564,23.1584282566,288.733329921037,19.1846380560661,1190.48830944691,75.4029235045303,62.7763548035264,3.97379020053391,17.8758916688436,17.1888845427404,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,6-12mo,273.5,Cuanza_Sul,raw cases,5,13167.0597207667,845.601322585511,11711.7373633075,748.850492640701,711.290660379769,45.6790504556208,632.951221749169,40.4677529827452,1455.32235745925,96.7508299448095,78.3394386306001,5.21129747287561,11.0527512468403,11.4416601962003,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,12-18mo,456,Cuanza_Sul,raw cases,5,14940.9395689162,827.977615978798,14369.5857433073,794.496066259161,827.281290812771,45.8290670930475,795.575064198977,43.9711405035264,571.353825608923,33.4815497196367,31.7062266137943,1.85792658952111,3.82408230067132,4.04377474384454,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,18-24mo,638.5,Cuanza_Sul,raw cases,5,16145.7219289112,733.950747397908,16145.7219289112,733.950747397908,913.769063949788,41.5379650646115,913.769063949788,41.5379650646115,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,24-30mo,821,Cuanza_Sul,raw cases,5,17282.4137919739,628.160832643578,17282.4137919739,628.160832643578,961.832294046424,34.9273192053584,961.832294046424,34.9273192053584,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-6mo,91,Cunene,raw cases,5,893.018819321181,57.7745000340896,669.926612600269,40.4642938766878,75.2258189647608,4.88825730450683,56.4747047710475,3.43404328105725,223.092206720912,17.3102061574018,18.7511141937133,1.45421402344958,24.9818035067271,29.9616719265212,PMC co-delivery with EPI only,PMC co-delivery with EPI only
