Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,scenario,Scenario
Angola,AGO,n_age_0_6,3,Zaire,raw cases,5,26.490067620456,2.67476290357714,98.9718936728619,9.9934191745334,0,0,0,0,26.490067620456,2.67476290357714,98.9718936728619,9.9934191745334,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_7_13,10,Zaire,raw cases,5,26.5119995321942,2.39891492170422,84.9825988675754,7.68957559240564,0,0,0,0,26.5119995321942,2.39891492170422,84.9825988675754,7.68957559240564,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_14_20,17,Zaire,raw cases,5,32.5694659559465,2.38251043361233,104.507873948317,7.64492424939645,0,0,0,0,32.5694659559465,2.38251043361233,104.507873948317,7.64492424939645,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_21_27,24,Zaire,raw cases,5,40.3693882074969,1.84640565543922,129.676540923877,5.93111536169323,0,0,0,0,40.3693882074969,1.84640565543922,129.676540923877,5.93111536169323,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_28_34,31,Zaire,raw cases,5,37.237338682045,1.8995062494637,119.745945777772,6.10833589089155,0,0,0,0,37.237338682045,1.8995062494637,119.745945777772,6.10833589089155,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_35_41,38,Zaire,raw cases,5,47.358756161047,3.74725620959077,152.464051648901,12.063700793532,0,0,0,0,47.358756161047,3.74725620959077,152.464051648901,12.063700793532,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_42_48,45,Zaire,raw cases,5,45.1438493819677,2.96920086241015,145.486135111983,9.56891279226555,0,0,0,0,45.1438493819677,2.96920086241015,145.486135111983,9.56891279226555,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_49_55,52,Zaire,raw cases,5,59.2328321986535,4.37003041443945,191.093924655634,14.0983679449774,0,0,0,0,59.2328321986535,4.37003041443945,191.093924655634,14.0983679449774,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_56_62,59,Zaire,raw cases,5,58.2818782349454,2.71282614362289,188.231624757509,8.76155141466611,0,0,0,0,58.2818782349454,2.71282614362289,188.231624757509,8.76155141466611,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_63_69,66,Zaire,raw cases,5,65.3373408256451,2.3474348051954,211.253502884333,7.58989911624144,41.7873776645555,1.54933917357874,135.110027381509,5.0094375350819,23.5499631610896,0.798095631616661,76.1434755028241,2.58046158115954,PMC co-delivery with EPI only,PMC co-delivery with EPI only
